address,authority,latitude,longitude
2601,CHITUNGWIZA MUNICIPALITY,-17.9957021,31.0336184
8218 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99704029,31.03245141
8246 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99791033,31.03199899
8265 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9981301,31.03252389
2647 BANGO ROAD,CHITUNGWIZA MUNICIPALITY,-17.9964615,31.0322348
8214 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99727416,31.03281163
2612 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9962251,31.03385938
2624,CHITUNGWIZA MUNICIPALITY,-17.9967255,31.0335612
2891 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9978509,31.03057078
2910 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99749744,31.03027441
8519 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99805288,31.02997812
2897 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99793311,31.02996048
8239 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99742985,31.03179193
2915 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99744755,31.03076262
2893 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99787404,31.03035307
8244 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99809955,31.03178004
8200 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99742208,31.03105866
2947 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99704541,31.03052621
2940 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99712352,31.02987362
9534 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99746323,31.0293461
2902 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99757073,31.02948285
2906 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99753889,31.02988458
2933 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99719927,31.02921748
9533 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99753268,31.02926235
2930 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.997233,31.02893144
8241 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99761767,31.03167754
8217 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99709799,31.03253803
2905 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9975558,31.02980663
2608 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99604494,31.03398819
2594 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99573684,31.0330554
6791 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99830034,31.033334
2649 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9963373,31.03253086
2908 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99752857,31.03008623
2936 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99716654,31.02949378
2935 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99717854,31.02940438
2620 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9965888,31.03360205
8516 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99801921,31.03027662
2614 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99631226,31.03379814
2606 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99609582,31.03362047
2931 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99722222,31.02902566
2674 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99635975,31.03340177
2944 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99707906,31.03024655
8198 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99721163,31.03103107
8514 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99799592,31.03047472
2602 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99597105,31.03342845
8188 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99666754,31.03169989
6800 2286 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99751182,31.03383986
6798 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99771082,31.03373783
2939 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99713259,31.02978178
9524 9524 ST MARYS ROAD,CHITUNGWIZA MUNICIPALITY,-17.9972096,31.0288537
8518 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99804306,31.03007349
2634 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99669426,31.0331032
2937 ST MARYS ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9971024,31.029544
2591JEKACHEKA,CHITUNGWIZA MUNICIPALITY,-17.9954741,31.0331153
8520 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99806591,31.02988014
9532 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99748508,31.02914856
8283 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99823983,31.03302672
2887 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99781074,31.03091695
2607 JEKACHEKA,CHITUNGWIZA MUNICIPALITY,-17.99614876,31.03409428
8210 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99732036,31.03320113
2655,CHITUNGWIZA MUNICIPALITY,-17.9960764,31.0327041
6802 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99728794,31.03386134
2967 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99707051,31.0290951
2969 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99709061,31.02902592
2628 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99748788,31.0295824
8186 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99731019,31.03373293
2618 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9964947,31.03366644
2639 CHIEDZA,CHITUNGWIZA MUNICIPALITY,-17.99674167,31.03280402
6795 6795 GOMBO STREET,CHITUNGWIZA MUNICIPALITY,-17.9978915,31.03360791
8242 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99773707,31.03165488
6924 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99674051,31.03403759
8517 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99803083,31.03017345
2928 2928 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9976354,31.029535
2615 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99648995,31.03382085
2600 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99591059,31.03333235
2595 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99563874,31.03325943
2622 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99741938,31.03019468
2903 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99757838,31.02958962
8266 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99805267,31.03259964
2642 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99645487,31.03271499
8255 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99765804,31.03238194
2909 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99749964,31.03020834
2597 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99569228,31.03334574
2613 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99640673,31.03391199
2943 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99709003,31.03015015
